灰色,茶色,黒,オレンジ,ライトブルー,黄色,赤,黄緑
45.0,13.72,10.63,9.96,9.9,8.84,1.57,0.44
赤,灰色,茶色,オレンジ,黄緑,黄色,黒,緑,白,不明
23.55,15.75,15.04,13.94,11.39,8.87,6.69,2.89,1.65,0.22
茶色,オレンジ,白,黒,赤,灰色,黄緑,黄色
40.32,25.08,12.08,8.38,5.2,3.9,3.3,1.73
茶色,黒,オレンジ,黄緑,黄色,赤,緑,灰色
29.22,23.71,20.56,17.21,3.92,3.13,2.08,0.15
オレンジ,灰色,茶色,黒,赤,黄色
34.46,27.51,14.31,9.34,8.81,5.55
オレンジ,茶色,黒,黄色,灰色,黄緑,赤,ライトブルー,緑
33.56,19.16,14.4,9.6,8.06,7.62,6.47,0.75,0.37
黒,オレンジ,茶色,黄緑,灰色,黄色,緑
36.25,32.3,19.19,6.97,3.24,1.66,0.42
オレンジ,茶色,黒,黄色,灰色,黄緑,赤,緑,白
37.15,31.46,9.58,7.81,6.65,4.31,1.39,1.34,0.28
茶色,オレンジ,灰色,赤,黄色,黄緑,黒,緑,ライトブルー,ピンク,不明
22.9,22.17,13.03,10.24,9.72,7.48,6.92,2.39,2.34,1.62,1.16
灰色,茶色,黒,オレンジ,黄色,ライトブルー,黄緑
34.99,17.72,16.38,14.66,12.55,3.49,0.23
灰色,黒,茶色,オレンジ,ライトブルー,緑,黄色,不明,黄緑
34.42,19.51,17.75,16.32,5.13,2.65,2.51,0.88,0.86
茶色,黒,オレンジ,灰色,黄色,黄緑,白,赤
28.22,17.3,16.42,14.98,13.28,4.82,2.69,2.34
オレンジ,茶色,灰色,黄色,黒,赤,黄緑
31.13,24.65,14.48,11.18,10.33,7.9,0.32

オレンジ,赤,茶色,黒,黄色,黄緑,灰色,緑
43.94,18.78,17.89,6.77,6.52,3.66,1.81,0.6
灰色,黄色,黒,ライトブルー,オレンジ,茶色,黄緑,赤,緑,不明
25.02,22.92,17.69,9.61,9.08,7.35,3.53,3.01,0.99,0.76
オレンジ,茶色,黄色,灰色,赤,黒
37.32,25.9,14.78,11.41,5.62,4.95
黄色,茶色,黒,ライトブルー,灰色,緑,オレンジ,黄緑
24.62,24.45,23.84,9.99,8.16,3.91,3.01,2.03
黄色,黒,茶色,ライトブルー,灰色,オレンジ,緑,白,黄緑
24.48,23.7,23.64,10.69,5.75,4.17,3.05,2.62,1.93
オレンジ,茶色,黄色,灰色,赤,黒,黄緑,白
28.13,27.13,19.85,10.37,7.0,6.68,0.6,0.21
赤,ライトブルー,灰色,黒,茶色,黄色,緑,黄緑,オレンジ,ピンク,紫,青
30.26,17.42,15.08,11.47,9.16,8.88,2.68,2.4,2.25,0.2,0.09,0.08
茶色,灰色,黒,オレンジ,黄色,赤,黄緑
35.07,21.01,18.34,17.97,6.22,1.12,0.3
灰色,茶色,黄色,黒,ライトブルー,オレンジ,赤,黄緑
44.86,14.54,10.46,9.89,9.47,9.1,1.48,0.17
黒,黄色,茶色,ライトブルー,灰色,緑,赤,オレンジ,黄緑
25.38,24.22,23.65,9.84,8.37,2.93,2.44,1.73,1.46
茶色,オレンジ,白,黒,赤,灰色,黄緑,黄色
39.66,26.54,12.56,9.5,4.01,3.8,2.9,1.0
灰色,茶色,ライトブルー,オレンジ,黒,黄色,赤,黄緑
46.97,15.01,9.55,9.51,9.01,8.13,1.65,0.17
